year,market,row_count,symbol_count,first_date,last_date
1995,KOSPI,198903,1140,1995-05-02,1995-12-27
1996,KOSDAQ,60866,478,1996-07-01,1996-12-27
1996,KOSPI,293030,1194,1996-01-03,1996-12-27
1997,KOSDAQ,107521,451,1997-01-03,1997-12-27
1997,KOSPI,278440,1000,1997-01-03,1997-12-27
1998,KOSDAQ,105832,396,1998-01-03,1998-12-28
1998,KOSPI,274981,965,1998-01-03,1998-12-28
1999,KOSDAQ,89772,518,1999-01-04,1999-12-28
1999,KOSPI,229763,990,1999-01-04,1999-12-28
2000,KOSDAQ,132252,722,2000-01-04,2000-12-26
2000,KOSPI,221110,949,2000-01-04,2000-12-26
2001,KOSDAQ,158880,797,2001-01-02,2001-12-28
2001,KOSPI,220067,933,2001-01-02,2001-12-28
2002,KOSDAQ,199448,894,2002-01-02,2002-12-30
2002,KOSPI,210828,917,2002-01-02,2002-12-30
2003,KOSDAQ,216624,931,2003-01-02,2003-12-30
2003,KOSPI,211622,886,2003-01-02,2003-12-30
2004,KOSDAQ,224157,948,2004-01-02,2004-12-30
2004,KOSPI,209718,883,2004-01-02,2004-12-30
2005,KOSDAQ,225488,976,2005-01-03,2005-12-29
2005,KOSPI,210257,887,2005-01-03,2005-12-29
2006,KOSDAQ,234235,986,2006-01-02,2006-12-28
2006,KOSPI,214871,896,2006-01-02,2006-12-28
2007,KOSDAQ,245653,1042,2007-01-02,2007-12-28
2007,KOSPI,219362,925,2007-01-02,2007-12-28
2008,KOSDAQ,258259,1072,2008-01-02,2008-12-30
2008,KOSPI,228103,939,2008-01-02,2008-12-30
2009,KOSDAQ,262558,1104,2009-01-02,2009-12-30
2009,KOSPI,233047,955,2009-01-02,2009-12-30
2010,KOSDAQ,257346,1112,2010-01-04,2010-12-30
2010,KOSPI,231626,963,2010-01-04,2010-12-30
2011,KOSDAQ,256441,1095,2011-01-03,2011-12-29
2011,KOSPI,230619,959,2011-01-03,2011-12-29
2012,KOSDAQ,253433,1058,2012-01-02,2012-12-28
2012,KOSPI,231488,955,2012-01-02,2012-12-28
2013,KONEX,3238,45,2013-07-01,2013-12-30
2013,KOSDAQ,247752,1047,2013-01-02,2013-12-30
2013,KOSPI,226867,942,2013-01-02,2013-12-30
2014,KONEX,13438,79,2014-01-02,2014-12-30
2014,KOSDAQ,249252,1081,2014-01-02,2014-12-30
2014,KOSPI,221701,928,2014-01-02,2014-12-30
2015,KONEX,20246,120,2015-01-02,2015-12-30
2015,KOSDAQ,270544,1174,2015-01-02,2015-12-30
2015,KOSPI,219643,920,2015-01-02,2015-12-30
2016,KONEX,30167,158,2016-01-04,2016-12-29
2016,KOSDAQ,288882,1225,2016-01-04,2016-12-29
2016,KOSPI,218616,906,2016-01-04,2016-12-29
2017,KONEX,35592,170,2017-01-02,2017-12-28
2017,KOSDAQ,300479,1290,2017-01-02,2017-12-28
2017,KOSPI,215214,917,2017-01-02,2017-12-28
2018,KONEX,36522,175,2018-01-02,2018-12-28
2018,KOSDAQ,312398,1360,2018-01-02,2018-12-28
2018,KOSPI,218405,908,2018-01-02,2018-12-28
2019,KONEX,37109,170,2019-01-02,2019-12-30
2019,KOSDAQ,332986,1422,2019-01-02,2019-12-30
2019,KOSPI,221953,919,2019-01-02,2019-12-30
2020,KONEX,36341,163,2020-01-02,2020-12-30
2020,KOSDAQ,353662,1494,2020-01-02,2020-12-30
2020,KOSPI,225846,929,2020-01-02,2020-12-30
2021,KONEX,33742,150,2021-01-04,2021-12-30
2021,KOSDAQ,373292,1572,2021-01-04,2021-12-30
2021,KOSPI,229758,943,2021-01-04,2021-12-30
2022,KONEX,31190,145,2022-01-03,2022-12-29
2022,KOSDAQ,385004,1652,2022-01-03,2022-12-29
2022,KOSDAQ GLOBAL,1479,51,2022-11-21,2022-12-29
2022,KOSPI,230368,948,2022-01-03,2022-12-29
2023,KONEX,31783,146,2023-01-02,2023-12-28
2023,KOSDAQ,392997,1694,2023-01-02,2023-12-28
2023,KOSDAQ GLOBAL,12332,52,2023-01-02,2023-12-28
2023,KOSPI,231445,960,2023-01-02,2023-12-28
2024,KONEX,30279,135,2024-01-02,2024-12-30
2024,KOSDAQ,412544,1791,2024-01-02,2024-12-30
2024,KOSDAQ GLOBAL,11718,60,2024-01-02,2024-12-30
2024,KOSPI,232191,964,2024-01-02,2024-12-30
2025,KONEX,28611,125,2025-01-02,2025-12-30
2025,KOSDAQ,422957,1840,2025-01-02,2025-12-30
2025,KOSDAQ GLOBAL,12160,56,2025-01-02,2025-12-30
2025,KOSPI,231524,966,2025-01-02,2025-12-30
2026,KONEX,3724,115,2026-01-02,2026-02-20
2026,KOSDAQ,58231,1773,2026-01-02,2026-02-20
2026,KOSDAQ GLOBAL,1716,52,2026-01-02,2026-02-20
2026,KOSPI,31287,953,2026-01-02,2026-02-20
